OBS_ID,STATION_ID,OBS_DATE,VAR_CODE,VALUE
0,US1NMOT0001,2026-01-01,PRCP,0.02
1,US1NMOT0001,2026-01-02,PRCP,0.0
2,US1NMOT0001,2026-01-03,PRCP,0.0
3,US1NMOT0001,2026-01-04,PRCP,0.0
4,US1NMOT0001,2026-01-05,PRCP,0.0
5,US1NMOT0001,2026-01-06,PRCP,0.0
6,US1NMOT0001,2026-01-07,PRCP,0.0
7,US1NYSF0034,2026-01-01,PRCP,0.0
8,US1NYSF0034,2026-01-02,PRCP,0.0
9,US1NYSF0034,2026-01-03,PRCP,0.0
10,US1NYSF0034,2026-01-04,PRCP,0.0
11,US1NYSF0034,2026-01-05,PRCP,0.0
12,US1NYSF0034,2026-01-06,PRCP,0.0
13,US1NYSF0034,2026-01-07,PRCP,0.05
14,US1SCCR0282,2026-01-01,PRCP,0.0
15,US1SCCR0282,2026-01-02,PRCP,0.0
16,US1SCCR0282,2026-01-03,PRCP,0.15
17,US1SCCR0282,2026-01-04,PRCP,0.7
18,US1SCCR0282,2026-01-05,PRCP,0.0
19,US1SCCR0282,2026-01-06,PRCP,0.0
20,US1SCCR0282,2026-01-07,PRCP,0.0
21,US1NYSF0039,2026-01-06,PRCP,0.0
22,US1SCCR0280,2026-01-01,PRCP,0.0
23,US1SCCR0280,2026-01-02,PRCP,0.0
24,US1SCCR0280,2026-01-03,PRCP,0.27
25,US1SCCR0280,2026-01-04,PRCP,1.0
26,US1SCCR0280,2026-01-05,PRCP,0.0
27,US1SCCR0280,2026-01-06,PRCP,0.0
28,US1SCCR0280,2026-01-07,PRCP,0.0
29,US1SCCR0281,2026-01-01,PRCP,0.0
30,US1SCCR0281,2026-01-02,PRCP,0.0
31,US1SCCR0281,2026-01-03,PRCP,0.55
32,US1SCCR0281,2026-01-04,PRCP,0.08
33,US1SCCR0281,2026-01-05,PRCP,0.0
34,US1SCCR0281,2026-01-06,PRCP,0.0
35,US1SCCR0281,2026-01-07,PRCP,0.0
