STATION,NAME,STATE
US1NMOT0001,"CLOUDCROFT 1.8 SW, NM US",NM
US1NYSF0034,"BAY SHORE 0.5 ESE, NY US",NY
US1SCCR0282,"MOUNT PLEASANT 1.6 SSE, SC US",SC
US1NYSF0039,"SAYVILLE 0.0 N, NY US",NY
US1SCCR0280,"NORTH CHARLESTON 3.7 ESE, SC US",SC
US1SCCR0281,"CHARLESTON 3.5 SSE, SC US",SC
US1NMOT0008,"ALAMOGORDO 5.1 NW, NM US",NM
USS0053L01S,"TELAQUANA LAKE, AK US",AK
USC00116610,"PARIS STP, IL US",IL
US1FLPN0134,"CLEARWATER 1.0 SW, FL US",FL
US1ILTZ0010,"TREMONT 3.6 E, IL US",IL
US1SCCR0286,"CHARLESTON 5.6 NW, SC US",SC
US1SCCR0284,"KIAWAH ISLAND 3.9 W, SC US",SC
US1FLPN0130,"ST. PETERSBURG 6.4 W, FL US",FL
USC00297461,"RIO GRANDE NATURE CENTER, NM US",NM
USC00116616,"PARK FOREST WATER, IL US",IL
US1FLPN0131,"SEMINOLE 0.9 S, FL US",FL
US1NYSF0044,"SHIRLEY 2.9 N, NY US",NY
USC00088051,"SCOTTSMOOR 2.5 SSW, FL US",FL
US1NYER0236,"BUFFALO 3.9 N, NY US",NY
USC00113580,"OLMSTED LOCK AND DAM, IL US",IL
US1NYON0027,"CANANDAIGUA 2.6 S, NY US",NY
USC00306047,"NORTH TONAWANDA, NY US",NY
US1FLPN0122,"ST. PETERSBURG 3.5 NNW, FL US",FL
USC00297477,"RIO RANCHO NUMBER 1, NM US",NM
US1ILTZ0023,"WASHINGTON 1.7 NE, IL US",IL
US1FLPN0126,"DUNEDIN 2.4 ESE, FL US",FL
US1FLPN0129,"ST. PETERSBURG 5.5 N, FL US",FL
US1NYER0234,"EAST AMHERST 1.3 WSW, NY US",NY
USC00502107,"COLLEGE OBSERVATORY, AK US",AK
USR0000ANIN,"NINILCHIK ALASKA, AK US",AK
US1NMOT0027,"CLOUDCROFT 4.0 E, NM US",NM
US1NYER0203,"SNYDER 0.6 SW, NY US",NY
USC00114890,"LANSING 2 S, IL US",IL
USC00297481,"RIO RANCHO NUMBER 2, NM US",NM
USC00300707,"BLACK RIVER, NY US",NY
US1NYER0219,"WEST SENECA 2.8 ENE, NY US",NY
US1ILWL0103,"JOLIET 1.8 NNE, IL US",IL
US1ILWL0100,"JOLIET 2.9 WNW, IL US",IL
US1ILTZ0001,"MORTON 1.0 S, IL US",IL
USC00112223,"DE KALB, IL US",IL
US1NYER0211,"AKRON 3.6 W, NY US",NY
US1NYSF0062,"COPIAGUE 0.4 ENE, NY US",NY
US1NYSF0077,"NESCONSET 1.4 SSW, NY US",NY
US1NMOT0046,"ALAMOGORDO 8.8 N, NM US",NM
US1NYSF0079,"SMITHTOWN 2.0 SSW, NY US",NY
US1ILWL0131,"HOMER GLEN 0.7 NNE, IL US",IL
US1ILMCL080,"CARLOCK 2.1 NNE, IL US",IL
US1ILCK0192,"PARK RIDGE 0.7 WNW, IL US",IL
US1ILWL0136,"CRETE 3.3 ENE FRANKTUARY FARM, IL US",IL
US1NMOT0042,"ALAMOGORDO 2.4 NE, NM US",NM
US1NMOT0044,"LA LUZ 5.8 ENE, NM US",NM
USC00084500,"KENANSVILLE, FL US",FL
US1ILWL0137,"NAPERVILLE 2.8 SSW, IL US",IL
US1ILWL0138,"CRETE 2.7 W, IL US",IL
USC00294398,"JOHNSON RANCH, NM US",NM
US1NYSF0073,"BRIGHTWATERS 0.7 NNW, NY US",NY
US1NYSF0074,"ISLIP TERRACE 0.5 W, NY US",NY
USR0000FLSU,"LOWER SUWANNEE FLORIDA, FL US",FL
US1NYSF0089,"AMITYVILLE 0.1 WSW, NY US",NY
US1NMOT0037,"CLOUDCROFT 0.4 ESE, NM US",NM
USS0006N14S,"HOPEWELL, NM US",NM
US1ILMCL072,"BLOOMINGTON 3.7 NE, IL US",IL
US1ILWL0122,"SHOREWOOD 0.3 N, IL US",IL
US1ILMCL076,"BLOOMINGTON 2.0 WSW, IL US",IL
USC00115314,"MANHATTAN 5 ENE, IL US",IL
USC00307329,"RUSHFORD, NY US",NY
US1NYSF0080,"REMSENBURG SPEONK 0.9 NE, NY US",NY
US1NYSF0084,"CENTEREACH 1.3 NE, NY US",NY
US1NYSF0085,"PATCHOGUE 0.9 SE, NY US",NY
US1FLCT0046,"INVERNESS 4.5 WNW, FL US",FL
US1FLCT0045,"INVERNESS 1.6 SE, FL US",FL
US1FLCT0041,"HOMOSASSA 5.3 NNE, FL US",FL
US1ILCK0173,"PALOS PARK 3.6 WNW, IL US",IL
US1ILWL0154,"NAPERVILLE 2.9 SSE, IL US",IL
US1ILWL0151,"NEW LENOX 1.5 W, IL US",IL
US1NYON0017,"CANANDAIGUA 4.6 S, NY US",NY
USC00308631,"TUPPER LAKE SUNMOUNT, NY US",NY
USC00305597,"MOUNT MORRIS 2 W, NY US",NY
US1ILWL0159,"NEW LENOX 2.1 S, IL US",IL
US1FLPN0116,"TARPON SPRINGS 3.1 E, FL US",FL
US1FLOK0052,"BAKER 1.8 SSE, FL US",FL
US1NYSF0092,"AMITYVILLE 0.6 NNE, NY US",NY
US1FLOK0056,"CRESTVIEW 3.0 SSE, FL US",FL
USW00063890,"JACKSONVILLE WHITEHOUSE NAVAL OUTLYING FIELD, FL US",FL
US1NMOT0051,"TULAROSA 1.0 E, NM US",NM
USC00117952,"SIDELL 4 N, IL US",IL
US1ILWL0149,"BULT FIELD MONEE 4.9 SE, IL US",IL
US1FLPN0105,"FEATHER SOUND 1.3 S, FL US",FL
US1FLPN0104,"LARGO 1.5 SSW, FL US",FL
USW00054937,"JAMESTOWN 38 WSW, ND US",ND
US1FLLN0060,"TALLAHASSEE 6.2 E, FL US",FL
USW00025507,"HOMER AIRPORT, AK US",AK
USW00025506,"ILIAMNA AIRPORT, AK US",AK
USS0051K15S,"PORT GRAHAM, AK US",AK
US1NMOT0088,"ALAMOGORDO 2.4 NNE, NM US",NM
US1ILCR0012,"MOUNT CARROLL 6.8 NNW, IL US",IL
US1ILMCL045,"LE ROY 1.8 WSW, IL US",IL
US1ILMCL048,"BLOOMINGTON 1.5 ESE, IL US",IL
US1ILWD0018,"PROPHETSTOWN 0.2 SW, IL US",IL
USC00114833,"LAKE SPRINGFIELD, IL US",IL
US1FLCT0029,"HOMOSASSA 6.0 SE, FL US",FL
