VAR_CODE,VAR_NAME
PRCP,Precipitation
SNWD,Snow Depth
TMAX,Max Temp
TMIN,Min Temp
V005,Sensor_5
V006,Sensor_6
V007,Sensor_7
V008,Sensor_8
V009,Sensor_9
V010,Sensor_10
V011,Sensor_11
V012,Sensor_12
V013,Sensor_13
V014,Sensor_14
V015,Sensor_15
V016,Sensor_16
V017,Sensor_17
V018,Sensor_18
V019,Sensor_19
V020,Sensor_20
V021,Sensor_21
V022,Sensor_22
V023,Sensor_23
V024,Sensor_24
V025,Sensor_25
V026,Sensor_26
V027,Sensor_27
V028,Sensor_28
V029,Sensor_29
V030,Sensor_30
V031,Sensor_31
V032,Sensor_32
V033,Sensor_33
V034,Sensor_34
V035,Sensor_35
V036,Sensor_36
V037,Sensor_37
V038,Sensor_38
V039,Sensor_39
V040,Sensor_40
V041,Sensor_41
V042,Sensor_42
V043,Sensor_43
V044,Sensor_44
V045,Sensor_45
V046,Sensor_46
V047,Sensor_47
V048,Sensor_48
V049,Sensor_49
V050,Sensor_50
V051,Sensor_51
V052,Sensor_52
V053,Sensor_53
V054,Sensor_54
V055,Sensor_55
V056,Sensor_56
V057,Sensor_57
V058,Sensor_58
V059,Sensor_59
V060,Sensor_60
V061,Sensor_61
V062,Sensor_62
V063,Sensor_63
V064,Sensor_64
V065,Sensor_65
V066,Sensor_66
V067,Sensor_67
V068,Sensor_68
V069,Sensor_69
V070,Sensor_70
V071,Sensor_71
V072,Sensor_72
V073,Sensor_73
V074,Sensor_74
V075,Sensor_75
V076,Sensor_76
V077,Sensor_77
V078,Sensor_78
V079,Sensor_79
V080,Sensor_80
V081,Sensor_81
V082,Sensor_82
V083,Sensor_83
V084,Sensor_84
V085,Sensor_85
V086,Sensor_86
V087,Sensor_87
V088,Sensor_88
V089,Sensor_89
V090,Sensor_90
V091,Sensor_91
V092,Sensor_92
V093,Sensor_93
V094,Sensor_94
V095,Sensor_95
V096,Sensor_96
V097,Sensor_97
V098,Sensor_98
V099,Sensor_99
V100,Sensor_100
